Gene,logFC,padj,p_value
MALAT1,4.5810881,0.0000134,2.61E-08
TALAM1,4.2520555,0.0000491,1.91E-07
MIR3648-2,3.7974786,0.0000631,3.69E-07
RPPH1,4.9220588,0.0002226,2.17E-06
MIR3648-1,3.5460575,0.0002226,2.03E-06
RNA18SN4,4.0976004,0.0011377,1.33E-05
RNA45SN1,3.553962,0.0016303,2.54E-05
RNA28SN1,3.4764563,0.0016303,2.25E-05
RNA45SN5,3.5164419,0.0025222,4.56E-05
RNA28SN5,3.4892165,0.0025222,4.92E-05
RN7SK,3.27352,0.0032645,7.64E-05
RNA18SN3,3.8962393,0.0032645,7.62E-05
EEF1A1,3.8103708,0.0045473,1.31E-04
RNA18SN1,3.7900339,0.0045473,1.42E-04
RNA45SN4,3.2846153,0.0045473,1.26E-04
LOC112268313,2.1535675,0.0045473,1.42E-04
LOC105378179,3.444101,0.0056608,2.04E-04
RNA28SN4,3.2874567,0.0056608,1.98E-04
RNA18SN5,3.6723581,0.0056608,2.10E-04
RN7SL2,3.4629186,0.0061762,2.53E-04
RNA45SN3,3.2729816,0.0061762,2.47E-04
B2M,3.93637,0.0073621,3.16E-04
LOC107987206,3.1884935,0.0081109,3.79E-04
RN7SL1,3.1884935,0.0081109,3.79E-04
ACTB,3.8604207,0.0097154,4.73E-04
RNA28SN3,3.2318697,0.0125339,6.35E-04
LOC112268284,2.9699407,0.0127968,6.74E-04
RN7SL3,3.9076855,0.0134216,7.33E-04
RNA18SN2,3.1659707,0.0257924,1.46E-03
TMSB4X,3.2519405,0.032046,1.87E-03
PARP2,3.2248275,0.0325411,1.97E-03
RNR2,2.84817,0.033804,2.11E-03
SLCO5A1,2.8263001,0.0389833,2.51E-03
RNA45SN2,2.7148012,0.0438145,2.93E-03
RNA5-8SN1,2.8696595,0.0438145,2.99E-03
BEST1,2.7284736,0.0589711,4.14E-03
NORAD,3.7716032,0.0598458,4.32E-03
RNA28SN2,2.6673151,0.0692297,5.13E-03
HBB,4.2426324,0.127331,9.93E-03
RNA5-8SN3,2.0692823,0.127331,9.93E-03
HBA1,3.8165768,0.127455,1.04E-02
RNR1,2.390778,0.127455,1.03E-02
TPT1,3.6406557,0.128572,1.08E-02
RNA5-8SN2,2.3020879,0.1304847,1.12E-02
FTH1,3.3013003,0.1327395,1.16E-02
NPM1,4.1235856,0.1355232,1.24E-02
RNA5-8SN4,2.1714667,0.1355232,1.23E-02
MYH9,2.3877362,0.1776277,1.66E-02
NRGN,2.6931635,0.1789446,1.71E-02
HBA2,3.5311777,0.1873306,1.83E-02
CACNA1D,-2.5742187,0.2766019,2.75E-02
NBPF19,-1.6168403,0.343017,3.54E-02
SPTBN1,1.8735147,0.343017,3.54E-02
PABPC1,2.6929545,0.361628,3.81E-02
TLN1,1.7432637,0.3692369,3.96E-02
LRP2,-2.2596971,0.4003752,4.37E-02
MIR6724-4,1.5700176,0.4271725,4.75E-02
MYO9A,-2.1911666,0.4436514,5.02E-02
SLC1A2,2.321745,0.4465662,5.14E-02
LAMA2,-2.2679415,0.4851696,5.67E-02
EEF2,2.0651094,0.4918862,5.85E-02
TAGLN2,3.526834,0.5270247,6.37E-02
PLXNB1,2.2840489,0.5363042,6.59E-02
COL12A1,-1.8214488,0.6459832,8.06E-02
AHNAK,1.40342,0.6583942,8.34E-02
LRPPRC,2.4743192,0.6650291,8.77E-02
PLXNA4,-1.6045751,0.6650291,8.85E-02
MUC2,-0.9495925,0.6650291,8.91E-02
RNF213,1.132791,0.6650291,9.07E-02
SMARCA4,1.9447078,0.6650291,9.04E-02
ACTG1,2.1580059,0.6735996,9.32E-02
PPBP,2.7753586,0.6795564,9.54E-02
NBPF1,-1.4488415,0.7106055,1.01E-01
DUOX1,-1.3467195,0.8772319,1.27E-01
SEMA4D,1.4879217,0.891051,1.31E-01
TRAF3,-1.5312233,0.891051,1.32E-01
SDK2,-1.2881875,0.9331131,1.40E-01
RNF144A,-1.3421182,0.950653,1.46E-01
YWHAZ,1.7963568,0.950653,1.46E-01
PTPN22,-1.4505365,0.9766127,1.66E-01
CFAP92,-1.471653,0.9766127,1.56E-01
EBF1,-1.0814065,0.9766127,1.58E-01
LRFN2,-0.8902342,0.9766127,1.64E-01
NAP1L1,1.929741,0.9766127,1.56E-01
FMN1,-0.9640786,0.9766127,1.62E-01
CAPN15,1.5164075,0.9766127,1.65E-01
GSE1,1.2008801,0.9766127,1.58E-01
CFAP74,-1.4880759,0.9807048,1.74E-01
RNLS,-1.6900614,0.9807048,1.73E-01
C1QTNF6,-1.5324299,0.9807048,1.69E-01
FLNA,1.6188774,0.9807048,1.72E-01
AGRN,0.5063262,0.9968512,6.56E-01
SCNN1D,-0.6391613,0.9968512,5.82E-01
PLCH2,-0.6649153,0.9968512,4.47E-01
PRDM16,-1.5116508,0.9968512,2.27E-01
CHD5,0.0038105,0.9968512,9.97E-01
PIK3CD,0.3691586,0.9968512,8.10E-01
DISP3,-0.6614036,0.9968512,3.24E-01
LOC105376794,-0.1188758,0.9968512,8.99E-01
MST1L,-0.2462306,0.9968512,8.24E-01
CROCC,0.6140352,0.9968512,5.78E-01
ARHGEF10L,-0.0695281,0.9968512,9.49E-01
UBR4,0.3812345,0.9968512,5.53E-01
HSPG2,-0.0626837,0.9968512,9.38E-01
EPHB2,0.0189117,0.9968512,9.83E-01
AHDC1,-0.9990102,0.9968512,3.16E-01
EPB41,-0.0494879,0.9968512,9.64E-01
COL16A1,0.3887682,0.9968512,7.27E-01
CSMD2,-0.3205824,0.9968512,5.82E-01
MACF1,0.3158598,0.9968512,7.38E-01
HIVEP3,-0.2754913,0.9968512,8.01E-01
SZT2,-0.2663366,0.9968512,7.87E-01
LOC105378726,-0.5641957,0.9968512,4.88E-01
GLIS1,0.1863876,0.9968512,8.58E-01
LRRC7,-0.4966408,0.9968512,5.96E-01
SLC6A17,-0.3724904,0.9968512,7.63E-01
KCNC4,-0.6411011,0.9968512,5.17E-01
RASAL2,-0.3360259,0.9968512,7.77E-01
CACNA1E,-0.2981472,0.9968512,7.81E-01
KIF21B,0.060106,0.9968512,9.47E-01
IGFN1,-0.1456703,0.9968512,8.71E-01
NAV1,-0.0053538,0.9968512,9.95E-01
PPP1R12B,-1.1716898,0.9968512,1.98E-01
ATP2B4,-0.6340205,0.9968512,5.85E-01
PLEKHA6,-0.0279776,0.9968512,9.73E-01
PIK3C2B,0.2512768,0.9968512,7.88E-01
NFASC,0.1059873,0.9968512,8.92E-01
PLXNA2,1.0232311,0.9968512,4.05E-01
OBSCN,0.8095153,0.9968512,2.09E-01
MYT1L,0.5960626,0.9968512,5.80E-01
DNMT3A,-0.7181372,0.9968512,5.72E-01
OTOF,-0.3850708,0.9968512,6.95E-01
BIRC6,0.2556136,0.9968512,8.18E-01
HEATR5B,1.5577099,0.9968512,4.08E-01
PRKCE,-1.069505,0.9968512,2.88E-01
TTC7A,-0.7817093,0.9968512,5.07E-01
DYSF,0.1825345,0.9968512,8.12E-01
POLR1A,-0.2533589,0.9968512,8.06E-01
FER1L5,-0.4517658,0.9968512,6.40E-01
INPP4A,0.126484,0.9968512,8.97E-01
RANBP2,1.2029617,0.9968512,4.33E-01
CLASP1,-0.099056,0.9968512,9.18E-01
MYO7B,-1.1113226,0.9968512,3.23E-01
ARHGEF4,0.3599464,0.9968512,7.49E-01
TTN,-0.4973649,0.9968512,4.86E-01
FTCDNL1,-1.0709352,0.9968512,5.75E-01
CFLAR,0.382834,0.9968512,6.96E-01
NRP2,-0.7589784,0.9968512,4.53E-01
TNS1,-0.1137093,0.9968512,8.92E-01
SPEG,0.0837199,0.9968512,8.93E-01
ARMC9,-0.4814502,0.9968512,4.78E-01
HDAC4,-0.9294565,0.9968512,1.96E-01
KIF1A,0.2532934,0.9968512,6.78E-01
SNED1,-0.0056623,0.9968512,9.95E-01
D2HGDH,-0.6696449,0.9968512,5.68E-01
SETD5,1.726601,0.9968512,3.47E-01
IQSEC1,0.6053854,0.9968512,5.73E-01
OXNAD1,-0.7805631,0.9968512,5.00E-01
ARPP21,-0.2315926,0.9968512,8.10E-01
